date,code,name,close_price,high_price,low_price,open_price,yest_close_price,diff,diff_ratio,volume,amount
2000-11-10,000001,sh,2047.458,2051.341,2033.627,2037.084,2032.482,14.976,0.7368,13965900,16278218750.0
2000-11-09,000001,sh,2032.482,2032.518,2014.838,2016.22,2012.908,19.574,0.9724,14051628,13677701250.0
2000-11-08,000001,sh,2012.908,2012.988,1998.345,1999.153,1997.077,15.831,0.7927,9254272,8958640000.0
2000-11-07,000001,sh,1997.077,1997.077,1990.059,1993.454,1991.173,5.904,0.2965,7898747,7594596880.0
2000-11-06,000001,sh,1991.173,1992.879,1982.751,1983.073,1981.631,9.542,0.4815,9996819,9323250630.0
2000-11-03,000001,sh,1981.631,1989.106,1977.21,1984.986,1984.26,-2.629,-0.1325,9320818,7778710000.0
2000-11-02,000001,sh,1984.26,1992.857,1980.887,1981.765,1977.363,6.897,0.3488,8933851,9136830000.0
2000-11-01,000001,sh,1977.363,1977.373,1959.721,1961.081,1961.287,16.076,0.8197,8501940,8529215630.0
2000-10-31,000001,sh,1961.287,1979.994,1956.417,1974.527,1973.578,-12.291,-0.6228,9090422,8227959380.0
2000-10-30,000001,sh,1973.578,1974.241,1962.812,1967.653,1967.405,6.173,0.3138,9939449,9660755630.0
2000-10-27,000001,sh,1967.405,1971.785,1957.744,1968.171,1967.673,-0.268,-0.0136,9037111,8183728130.0
2000-10-26,000001,sh,1967.673,1980.626,1962.2,1979.296,1977.254,-9.581,-0.4846,10652764,9040402500.0
2000-10-25,000001,sh,1977.254,1978.992,1957.313,1957.378,1956.344,20.91,1.0688,11506545,11748255000.0
2000-10-24,000001,sh,1956.344,1962.13,1945.527,1960.366,1958.938,-2.594,-0.1324,6357283,7483007500.0
2000-10-23,000001,sh,1958.938,1960.86,1945.674,1952.956,1947.455,11.483,0.5896,8577974,9817738750.0
2000-10-20,000001,sh,1947.455,1947.469,1912.378,1913.162,1913.42,34.035,1.7788,9387661,10031147500.0
2000-10-19,000001,sh,1913.42,1927.366,1911.182,1925.214,1922.845,-9.425,-0.4902,5965058,6140575000.0
2000-10-18,000001,sh,1922.845,1922.852,1911.705,1911.705,1909.49,13.355,0.6994,5755033,7864478130.0
2000-10-17,000001,sh,1909.49,1909.49,1896.945,1902.073,1902.809,6.681,0.3511,4174936,4769536880.0
2000-10-16,000001,sh,1902.809,1917.555,1897.906,1917.446,1918.157,-15.348,-0.8001,6085036,6261005630.0
2000-10-13,000001,sh,1918.157,1932.318,1911.357,1927.354,1926.324,-8.167,-0.424,6642719,7491518750.0
2000-10-12,000001,sh,1926.324,1933.329,1918.466,1933.143,1933.726,-7.402,-0.3828,7226056,7821239380.0
2000-10-11,000001,sh,1933.726,1948.014,1931.462,1944.248,1942.149,-8.423,-0.4337,7252889,7847945000.0
2000-10-10,000001,sh,1942.149,1942.17,1917.683,1917.896,1915.35,26.799,1.3992,6677506,7182732500.0
2000-10-09,000001,sh,1915.35,1915.495,1897.238,1912.076,1910.161,5.189,0.2717,5166776,5833385630.0
2000-09-29,000001,sh,1910.161,1910.486,1888.07,1888.201,1889.289,20.872,1.1048,4682326,5269501880.0
2000-09-28,000001,sh,1889.289,1917.061,1886.941,1915.497,1914.086,-24.797,-1.2955,5049919,5266124380.0
2000-09-27,000001,sh,1914.086,1914.106,1889.873,1889.875,1887.829,26.257,1.3909,4327159,4403170630.0
2000-09-26,000001,sh,1887.829,1890.672,1878.051,1878.311,1875.911,11.918,0.6353,4358292,4738101250.0
2000-09-25,000001,sh,1875.911,1896.716,1874.21,1889.904,1891.984,-16.073,-0.8495,4759702,4795766560.0
2000-09-22,000001,sh,1891.984,1904.573,1888.091,1904.573,1907.306,-15.322,-0.8033,6683124,6664313750.0
